id,n24,rev24,revlast,elpsdm,ordfreq,ordcat
5001,5,186,18,24,1,6
5002,2,30,15,24,1,6
5003,24,362,30,24,1,7
5004,4,41,15,24,1,6
5005,5,59,18,24,1,6
5006,5,90,25,24,1,7
5007,2,30,20,24,1,6
5008,5,76,15,24,1,6
5009,7,64,20,23,1,6
5010,6,80,20,23,1,6
5011,17,187,12,23,1,5
5012,8,119,25,23,1,7
5013,5,63,20,23,1,6
5014,11,109,15,23,1,6
5015,12,187,25,23,1,7
5016,3,29,17,23,1,6
5017,11,143,20,23,1,6
5018,2,35,20,23,1,6
5019,9,110,15,23,1,6
5020,14,138,12,23,1,5
5021,7,84,20,23,1,6
5022,9,86,15,23,1,6
5023,5,69,19,23,1,6
5024,10,146,20,23,1,6
5025,2,40,20,23,1,6
5026,6,80,15,23,1,6
5027,11,123,16,23,1,6
5028,9,111,30,23,1,7
5029,3,29,15,23,1,6
5030,4,37,15,23,1,6
5031,7,81,16,23,1,6
5032,2,40,20,23,1,6
5033,11,141,15,23,1,6
5034,8,67,15,23,1,6
5035,2,53,30,23,1,7
5036,19,58,10,23,1,5
5037,2,32,17,23,1,6
5038,4,34,15,23,1,6
5039,4,66,25,23,1,7
5040,2,40,25,23,1,7
5041,20,170,13,23,1,5
5042,17,203,13,23,1,5
5043,17,257,18,23,1,6
5044,7,52,20,23,1,6
5045,4,27,18,23,1,6
5046,4,44,15,23,1,6
5047,16,442,50,23,1,7
5048,4,47,20,23,1,6
5049,7,151,18,23,1,6
5050,7,42,20,23,1,6
5051,11,97,17,23,1,6
5052,10,105,15,23,1,6
5053,5,76,20,23,1,6
5054,3,48,25,23,1,7
5055,4,43,15,23,1,6
5056,12,153,25,23,1,7
5057,40,290,10,23,2,5
5058,19,126,15,23,1,6
5059,15,147,20,23,1,6
5060,8,113,18,23,1,6
5061,12,117,14,23,1,5
5062,11,135,20,23,1,6
5063,7,220,35,23,1,7
5064,6,67,20,23,1,6
5065,6,91,20,23,1,6
5066,5,80,30,23,1,7
5067,23,286,14,23,1,5
5068,6,52,15,23,1,6
5069,11,180,20,23,1,6
5070,2,21,16,23,1,6
